"","Constituency_Name","V1"
"304","OSMANABAD",2.05993340101615
"305","LATUR",2.14813181367397
"306","SHOLAPUR",2.1282216475925
"307","MADHA",2.09793310106627
"308","SANGLI",2.19743533924724
"309","SATARA",2.10686640333303
"310","RATNAGIRI - SINDHUDURG",2.65021698716214
"311","KOLHAPUR",2.06097959782585
"312","HATKANANGLE",2.22237036092147
"313","INNER MANIPUR",4.23658576505799
"314","OUTER MANIPUR",3.94316704188969
"315","SHILLONG",3.69497114423802
"316","TURA",6.17868682235836
"317","TURA(ST), DISTRICT,WEST GARO HILLS",6.17868682235836
"318","MIZORAM",5.16086702650355
"319","NAGALAND",3.06330665476444
"320","BARGARH",2.53286009741969
"321","SUNDARGARH",2.56910584091676
"322","SAMBALPUR",2.79377965273248
"323","KEONJHAR",2.69091241220094
"324","MAYURBHANJ",2.72968426920165
"325","BALASORE",2.65243614123076
"326","BHADRAK",2.46601628583367
"327","JAJPUR",2.77956145928653
"328","DHENKANAL",2.65778003345872
"329","BOLANGIR",2.31845683850226
"330","KALAHANDI",2.45825925034003
"331","NABARANGPUR",2.79353844019087
"332","KANDHAMAL",3.16876500740642
"333","CUTTACK",2.64199554248744
"334","KENDRAPARA",2.32975664826249
"335","JAGATSINGHPUR",2.41639744130887
"336","PURI",2.57999075880992
"337","BHUBANESWAR",2.37196092600447
"338","ASKA",2.57230085605985
"339","BERHAMPUR",2.71595061861635
"340","KORAPUT",2.78660634848132
"341","PUDUCHERRY",4.02038925753059
"342","GURDASPUR",2.41532802297084
"343","AMRITSAR",2.45305572065077
"344","KHADOOR SAHIB",2.31788738583442
"345","JALANDHAR",2.33568353661013
"346","HOSHIARPUR",2.43980351258949
"347","ANANDPUR SAHIB",2.31594386475289
"348","LUDHIANA",2.32116556420346
"349","FATEHGARH SAHIB",2.59407125630925
"350","FARIDKOT",2.49045994192739
"351","FEROZEPUR",2.38077643483294
"352","BATHINDA",2.37581599290364
"353","SANGRUR",2.54348047332045
"354","PATIALA",2.29315187945374
"355","GANGANAGAR",2.10880847106693
"356","BIKANER",2.27575258029773
"357","CHURU",2.06623009707354
"358","JHUNJHUNU",2.13482771418641
"359","SIKAR",2.04748452156697
"360","JAIPUR RURAL",2.13126570672237
"361","JAIPUR",1.85093931004893
"362","ALWAR",2.22805731775249
"363","BHARATPUR",2.14336977769629
"364","KARAULI-DHOLPUR",2.33874207147227
"365","DAUSA",2.37766944426219
"366","TONK-SAWAI MADHOPUR",2.11822478116643
"367","AJMER",2.15284854814553
"368","NAGAUR",2.15874924046561
"369","PALI",1.90516662162858
"370","JODHPUR",2.09736362789249
"371","BARMER",2.1568322389879
"372","JALORE",1.98568194072444
"373","UDAIPUR",1.99335841666942
"374","BANSWARA",2.13385473465533
"375","CHITTORGARH",1.99164278655855
"376","RAJSAMAND",2.13015446797955
"377","BHILWARA",2.06496320875081
"378","KOTA",2.07722842538917
"379","JHALAWAR-BARAN",2.17014643284043
"380","SIKKIM",9.77373034495779
"381","THIRUVALLUR",2.12810416523523
"382","CHENNAI NORTH",2.54768446391712
"383","CHENNAI SOUTH",2.01796103745679
"384","CHENNAI CENTRAL",2.72869149828544
"385","SRIPERUMBUDUR",1.86170070120621
"386","KANCHEEPURAM",2.44831409281526
"387","ARAKKONAM",2.58508517184532
"388","VELLORE",2.76150211200685
"389","KRISHNAGIRI",2.62602820232804
"390","DHARMAPURI",2.6679511408973
"391","TIRUVANNAMALAI",2.67841616123391
"392","ARANI",2.64575502968603
"393","VILUPPURAM",2.6126803974313
"394","KALLAKURICHI",2.56552818798456
"395","SALEM",2.41853105082257
"396","NAMAKKAL",2.72558425695272
"397","ERODE",2.74240104616395
"398","TIRUPPUR",2.63436680578283
"399","NILGIRIS",2.85524983591677
"400","COIMBATORE",2.10659328074707
"401","POLLACHI",2.62308569277708
"402","DINDIGUL",2.58745147376245
"403","KARUR",2.79114580204294
"404","TIRUCHIRAPPALLI",2.61242989171965
"405","PERAMBALUR",2.81881895741675
"406","CUDDALORE",2.90390477503149
"407","CHIDAMBARAM",2.65249050278512
"408","MAYILADUTURAI",2.68366858769564
"409","NAGAPATTINAM",2.99333237515137
"410","THANJAVUR",2.70423193164434
"411","SIVAGANGA",2.56575706275892
"412","MADURAI",2.51402839117157
"413","THENI",2.51425863559476
"414","VIRUDHUNAGAR",2.68331685789285
"415","RAMANATHAPURAM",2.4888982601505
"416","THOOTHUKKUDI",2.76540705704949
"417","TENKASI",2.62199248813926
"418","TIRUNELVELI",2.55119452843671
"419","KANNIYAKUMARI",2.46887578382827
"420","TRIPURA WEST",2.90242089598621
"421","TRIPURA EAST",3.17800778057242
"422","TEHRI GARHWAL",2.67911318380558
"423","GARHWAL",2.85965477131796
"424","ALMORA",2.89085558430079
"425","NAINITAL-UDHAMSINGH NAGAR",2.24967795725259
"426","HARDWAR",2.2057736660107
"427","SAHARANPUR",2.25244385215868
"428","KAIRANA",2.36576842300428
"429","MUZAFFARNAGAR",2.28131132060624
"430","BIJNOR",2.31985793310334
"431","NAGINA",2.42651660384661
"432","MORADABAD",2.04505455745957
"433","RAMPUR",2.24110621581573
